id jugador,jugador,goles,partidos,promedio,seleccion,year
1419,ricardo quaresma,1,3,0.3,POR,2018
1517,robert koren,1,3,0.3,SLN,2010
1496,robert vittek,4,4,1,SLK,2010
290,roberto firmino,1,4,0.2,BRA,2018
1184,robin van persie,1,7,0.1,NED,2010
1184,robin van persie,4,6,0.7,NED,2014
291,robinho,2,4,0.5,BRA,2010
365,rodrigo millar,1,3,0.3,CHI,2010
990,romaric,1,3,0.3,IVC,2010
201,romelu lukaku,1,4,0.2,BEL,2014
201,romelu lukaku,4,6,0.7,BEL,2018
1473,sadio mane,1,3,0.3,SEN,2018
60,salem al-dawsari,1,3,0.3,ARA,2018
61,salman al-faraj,1,3,0.3,ARA,2018
992,salomon kalou,1,3,0.3,IVC,2010
730,sami khedira,1,7,0.1,GER,2010
730,sami khedira,1,5,0.2,GER,2014
326,samuel eto'o,2,3,0.7,CAM,2010
679,samuel umtiti,1,6,0.2,FRA,2018
116,sergio aguero,2,4,0.5,ARG,2018
1273,shane smeltz,1,3,0.3,NZL,2010
1033,shinji kagawa,1,3,0.3,JAP,2018
1034,shinji okazaki,1,4,0.2,JAP,2010
1034,shinji okazaki,1,3,0.3,JAP,2014
1424,silvestre varela,1,2,0.5,POR,2014
1425,simão,1,4,0.2,POR,2010
1559,siphiwe tshabalala,1,3,0.3,SOA,2010
38,sofiane feghouli,1,4,0.2,ALG,2014
812,sokratis papastathopoulos,1,4,0.2,GRE,2014
1627,son heung-min,1,3,0.3,SOK,2014
1627,son heung-min,2,3,0.7,SOK,2018
1188,stefan de vrij,1,7,0.1,NED,2014
628,steven gerrard,1,4,0.2,ENG,2010
1782,steven zuber,1,3,0.3,SWZ,2018
778,sulley muntari,1,4,0.2,GHA,2010
1038,takashi inui,2,4,0.5,JAP,2018
401,teofilo gutierrez,1,4,0.2,COL,2014
293,thiago silva,1,6,0.2,BRA,2014
293,thiago silva,1,5,0.2,BRA,2018
206,thomas meunier,1,5,0.2,BEL,2018
735,thomas muller,5,6,0.8,GER,2010
735,thomas muller,5,7,0.7,GER,2014
1426,tiago,2,4,0.5,POR,2010
174,tim cahill,1,2,0.5,AUS,2010
174,tim cahill,2,2,1,AUS,2014
738,toni kroos,2,7,0.3,GER,2014
738,toni kroos,1,3,0.3,GER,2018
