164,ITA,fabio quagliarella,90,2,,940
84,ITA,mario balotelli,50,               ,,954
162,ITA,vincenzo laquinta,29,               ,,
167,IVC,didier drogba,79,               ,,975
78,IVC,gervinho,66,               ,,980
79,IVC,gervinho,73,               ,,980
169,IVC,romaric,20,               ,,990
169,IVC,salomon kalou,82,               ,,992
78,IVC,wilfried bony,64,               ,,1002
81,IVC,wilfried bony,74,               ,,1002
169,IVC,yaya toure,14,               ,,1003
54,JAP,genki haraguchi,48,               ,,1012
45,JAP,keisuke honda,78,               ,,1019
78,JAP,keisuke honda,16,               ,,1019
154,JAP,keisuke honda,39,               ,,1019
158,JAP,keisuke honda,17,               ,,1019
43,JAP,shinji kagawa,6,               ,,1033
82,JAP,shinji okazaki,45,1,,1034
158,JAP,shinji okazaki,87,               ,,1034
45,JAP,takashi inui,34,               ,,1038
54,JAP,takashi inui,52,               ,,1038
158,JAP,yasuhito endo,30,               ,,1045
43,JAP,yuya osako,73,               ,,1054
11,MAR,karim ansarifard,90,3,,
12,MAR,khalid boutaib,14,               ,,1089
12,MAR,youssef en-nesyri,81,               ,,1102
70,MEX,andres guardado,75,               ,,1107
33,MEX,carlos vela,26,               ,,1111
132,MEX,cuahutemoc blanco,79,               ,,
35,MEX,edson alvarez,74,               ,AG,1114
115,MEX,giovani dos santos,48,               ,,1119
31,MEX,hirving lozano,35,               ,,1124
33,MEX,javier hernandez,66,               ,,1130
70,MEX,javier hernandez,82,               ,,1130
132,MEX,javier hernandez,64,               ,,1130
180,MEX,javier hernandez,71,               ,,1130
66,MEX,oribe peralta,61,               ,,1144
