#,Nombre,Posicion,Edad,PJ Sel,Club,year,Seleccion,id
11,marco reus,DEL,29,31,borussia dortmund,2018,GER,715
23,mario gomez,DEL,24,34,bayern de munich,2010,GER,716
23,mario gomez,DEL,32,75,vfb stuttgart,2018,GER,716
19,mario gotze,CEN,22,29,bayern munich,2014,GER,717
21,marko marin,MED,21,9,werder bremen,2010,GER,718
2,marvin plattenhardt,DEF,26,6,hertha berlin,2018,GER,719
5,mats hummels,DEF,29,64,bayern munich,2018,GER,720
5,mats hummels,DEF,25,30,borussia dortmund,2014,GER,720
4,matthias ginter,DEF,24,18,borussia monchengladbach,2018,GER,721
3,matthias ginter,CEN,20,2,friburgo,2014,GER,721
8,mesut ozil,MED,21,10,werder bremen,2010,GER,722
10,mesut ozil,MED,29,90,arsenal,2018,GER,722
8,mesut ozil,CEN,25,55,arsenal,2014,GER,722
11,miroslav klose,DEL,32,96,bayern de munich,2010,GER,723
11,miroslav klose,DEL,36,132,lazio,2014,GER,723
15,niklas sule,DEF,22,11,bayern munich,2018,GER,724
17,per mertesacker,DEF,25,62,werder bremen,2010,GER,725
17,per mertesacker,DEF,29,98,arsenal,2014,GER,725
16,philipp lahm,DEF,26,65,bayern de munich,2010,GER,726
16,philipp lahm,DEF,30,106,bayern munich,2014,GER,726
15,piotr trochowski,MED,26,31,hamburgo,2010,GER,727
22,roman weidenfeller,POR,33,3,borussia dortmund,2014,GER,728
12,ron-robert zieler,POR,25,3,hannover 96,2014,GER,729
6,sami khedira,MED,23,5,stuttgart,2010,GER,730
6,sami khedira,MED,31,75,juventus,2018,GER,730
6,sami khedira,CEN,27,46,real madrid,2014,GER,730
19,sebastian rudy,MED,28,25,bayern munich,2018,GER,731
5,serdar tasci,DEF,23,12,stuttgart,2010,GER,732
21,shkodran mustafi2,DEF,22,1,sampdoria,2014,GER,733
9,stefan kießling,DEL,26,4,bayer 04 leverkusen,2010,GER,734
13,thomas muller,MED,20,2,bayern de munich,2010,GER,735
13,thomas muller,MED,28,91,bayern munich,2018,GER,735
13,thomas muller,CEN,24,49,bayern munich,2014,GER,735
12,tim wiese,POR,28,2,werder bremen,2010,GER,736
9,timo werner,DEL,22,14,rb leipzig,2018,GER,737
18,toni kroos,MED,20,4,bayer 04 leverkusen,2010,GER,738
8,toni kroos,MED,28,83,real madrid,2018,GER,738
18,toni kroos,CEN,24,44,bayern munich,2014,GER,738
12,adam kwarasey,POR,               ,               ,strømsgodset,2014,GHA,739
6,afriyie acquah,CEN,               ,               ,parma,2014,GHA,740
24,akwasi appiah,DT,               ,               ,,2014,GHA,741
14,albert adomah,CEN,               ,               ,middlesbrough,2014,GHA,742
10,andre ayew,CEN,               ,               ,olympique de marsella,2014,GHA,743
13,andre ayew,MED,20,20,ac arles,2010,GHA,743
6,anthony annan,MED,23,31,rosenborg ballklub,2010,GHA,744
3,asamoah gyan,DEL,               ,               ,al-ain,2014,GHA,745
3,asamoah gyan,DEL,24,38,stade rennais,2010,GHA,745
7,christian atsu,CEN,               ,               ,chelsea fc,2014,GHA,746
1,daniel agyei,POR,20,2,liberty professionals,2010,GHA,747
4,daniel opare,DEF,               ,               ,fc porto,2014,GHA,748
9,derek boateng,MED,27,21,getafe cf,2010,GHA,749
18,dominic adiyiah,DEL,20,5,milan,2010,GHA,750
8,emmanuel agyemang-badu,CEN,               ,               ,udinese,2014,GHA,751
16,fatau dauda,POR,               ,               ,orlando pirates,2014,GHA,752
2,hans sarpei,DEF,33,29,bayer leverkusen,2010,GHA,753
23,harrison afful,DEF,               ,               ,esperance,2014,GHA,754
17,ibrahim ayew,DEF,22,6,zamalek,2010,GHA,755
15,isaac vorsah,DEF,21,13,hoffenheim,2010,GHA,756
21,john boye,DEF,               ,               ,stade rennes,2014,GHA,757
5,john mensah,DEF,27,63,sunderland,2010,GHA,758
4,john pantsil,DEF,28,55,fulham fc,2010,GHA,759
19,jonathan mensah,DEF,               ,               ,evian thonon gaillard,2014,GHA,760
8,jonathan mensah,DEF,19,3,granada cf,2010,GHA,760
13,jordan ayew,DEL,               ,               ,olympique de marseille,2014,GHA,761
9,kevin prince boateng,CEN,               ,               ,schalke 04,2014,GHA,762
23,kevin prince boateng,DEL,23,               ,portsmouth fc,2010,GHA,762
20,kwadwo asamoah,CEN,               ,               ,juventus,2014,GHA,763
21,kwadwo asamoah,MED,21,14,udinese,2010,GHA,763
19,lee addy,DEF,24,9,berekum chelsea f.c.,2010,GHA,764
18,majeed waris,DEL,               ,               ,fc spartak moskva,2014,GHA,765
14,matthew amoah,DEL,29,41,nac breda,2010,GHA,766
5,michael essien,CEN,               ,               ,milan,2014,GHA,767
24,milovan rajevac,DT,               ,               ,,2010,GHA,768
17,mohammed rabiu,CEN,               ,               ,kuban krasnodar,2014,GHA,769
12,prince tagoe,DEL,23,17,hoffenheim,2010,GHA,770
20,quincy owusu-abeyie,DEL,24,12,al-sadd,2010,GHA,771
15,rashid sumaila,DEF,               ,               ,mamelodi sundowns,2014,GHA,772
22,richard kingson,POR,32,78,wigan athletic,2010,GHA,773
2,samuel inkoom,DEF,               ,               ,dnipro dnipropetrovsk,2014,GHA,774
7,samuel inkoom,DEF,21,15,fc basilea,2010,GHA,774
16,stephen ahorlu,POR,21,               ,heart of lions,2010,GHA,775
10,stephen appiah,MED,29,64,bologna,2010,GHA,776
1,steven adams,POR,               ,               ,aduana stars,2014,GHA,777
11,sulley muntari,CEN,               ,               ,milan,2014,GHA,778
11,sulley muntari,MED,25,52,inter de milan,2010,GHA,778
22,wakaso mubarak,CEN,               ,               ,rubin kazan,2014,GHA,779
6,alexandros tziolis,CEN,               ,               ,kayserispor,2014,GRE,780
6,alexandros tziolis,MED,25,18,ac siena,2010,GRE,780
12,alexandros tzorvas,POR,27,8,panathinaikos,2010,GRE,781
22,andreas samaris,CEN,               ,               ,olympiacos,2014,GRE,782
9,angelos charisteas,DEL,30,84,nuremberg,2010,GRE,783
23,athanassios prittas,MED,31,               ,aris salonica fc,2010,GRE,784
8,avraam papadopoulos,DEF,25,13,olympiacos fc,2010,GRE,785
3,christos patsatzoglou,DEF,31,42,ac omonia,2010,GRE,786
14,dimitris salpingidis,DEL,               ,               ,paok,2014,GRE,787
14,dimitris salpingidis,DEL,28,35,panathinaikos,2010,GRE,787
24,fernando santos,DT,               ,               ,,2014,GRE,788
10,georgios karagounis,MED,33,93,panathinaikos,2010,GRE,789
7,georgios samaras,DEL,               ,               ,celtic,2014,GRE,790
7,georgios samaras,DEL,25,33,celtic fc,2010,GRE,790
18,giannis fetfatzidis,DEL,               ,               ,genoa,2014,GRE,791
2,giannis maniatis,CEN,               ,               ,olympiacos,2014,GRE,792
10,giorgos karagounis,CEN,               ,               ,fulham,2014,GRE,793
3,giorgos tzavellas,DEF,               ,               ,paok,2014,GRE,794
2,giourkas seitaridis,DEF,29,69,panathinaikos,2010,GRE,795
20,jose holebas,DEF,               ,               ,olympiacos,2014,GRE,796
1,konstantinos chalkias,POR,36,26,paok salonica fc,2010,GRE,797
21,konstantinos katsouranis,MED,30,69,panathinaikos,2010,GRE,798
21,kostas katsouranis,CEN,               ,               ,paok,2014,GRE,799
4,kostas manolas,DEF,               ,               ,olympiacos,2014,GRE,800
9,kostas mitroglou,DEL,               ,               ,fulham,2014,GRE,801
16,lazaros christodoulopoulos,DEL,               ,               ,bologna,2014,GRE,802
11,loukas vyntra,DEF,               ,               ,levante,2014,GRE,803
11,loukas vyntra,DEF,29,28,panathinaikos,2010,GRE,803
13,michalis sifakis,POR,25,2,aris salonica fc,2010,GRE,804
4,nikos spiropoulos,DEF,26,18,panathinaikos,2010,GRE,805
1,orestis karnezis,POR,               ,               ,granada,2014,GRE,806
24,otto rehhagel,DT,               ,               ,,2010,GRE,807
12,panagiotis glykos,POR,               ,               ,paok,2014,GRE,808
8,panagiotis kone,CEN,               ,               ,bologna,2014,GRE,809
23,panagiotis tachtsidis,CEN,               ,               ,torino,2014,GRE,810
20,pantelis kapetanos,DEL,27,3,steaua bucarest,2010,GRE,811
19,sokratis papastathopoulos,DEF,               ,               ,borussia dortmund,2014,GRE,812
19,sokratis papastathopoulos,DEF,22,9,genoa fc,2010,GRE,812
16,sotirios kyrgiakos,DEF,30,58,liverpool,2010,GRE,813
18,sotiris ninis,MED,20,4,panathinaikos,2010,GRE,814
13,stefanos kapino,POR,               ,               ,panathinaikos,2014,GRE,815
22,stelios malezas,DEF,25,               ,paok salonica fc,2010,GRE,816
17,theofanis gekas,DEL,               ,               ,konyaspor,2014,GRE,817
17,theofanis gekas,DEL,30,47,hertha de berlin,2010,GRE,817
5,vangelis moras,DEF,               ,               ,hellas verona,2014,GRE,818
5,vangelis moras,DEF,28,11,bologna,2010,GRE,818
15,vasilis torosidis,DEF,               ,               ,roma,2014,GRE,819
15,vasilis torosidis,DEF,25,26,olympiacos fc,2010,GRE,819
20,amado guevara,MED,34,133,motagua,2010,HON,820
17,andy najar,CEN,22,               ,anderlecht,2014,HON,821
14,boniek garcia,CEN,29,               ,houston dynamo,2014,HON,822
21,brayan beckeles,DEF,28,               ,boavista,2014,HON,823
13,carlo costly,DEL,31,               ,gaziantepspor,2014,HON,824
9,carlos pavon,DEL,36,98,real españa,2010,HON,825
19,danilo turcios,MED,32,82,olimpia,2010,HON,826
11,david suazo,DEL,30,50,inter de milan,2010,HON,827
22,donis escober,POR,30,11,olimpia,2010,HON,828
22,donis escober,POR,33,               ,olimpia,2014,HON,828
12,edder delgado,CEN,29,               ,real españa,2014,HON,829
17,edgard alvarez,MED,30,46,bari,2010,HON,830
21,emilio izaguirre,DEF,24,39,motagua,2010,HON,831
7,emilio izaguirre,DEF,28,               ,celtic,2014,HON,831
12,georgie welcome,DEL,25,11,as monaco,2010,HON,832
6,hendry thomas,MED,25,39,wigan athletic,2010,HON,833
11,jerry bengtson,DEL,27,               ,c.a. belgrano,2014,HON,834
9,jerry palacios,DEL,32,               ,alajuelense,2014,HON,835
4,johnny palacios,DEF,23,4,olimpia,2010,HON,836
20,jorge claros,CEN,28,               ,sporting kansas city,2014,HON,837
6,juan carlos garcia,DEF,26,               ,wigan athletic,2014,HON,838
4,juan pablo montes,DEF,28,               ,motagua,2014,HON,839
10,julio cesar de leon,DEL,30,73,torino,2010,HON,840
24,luis fernando suarez,DT,               ,               ,,2014,HON,841
19,luis garrido,CEN,23,               ,houston dynamo,2014,HON,842
1,luis lopez,POR,20,               ,real españa,2014,HON,843
10,mario martinez,CEN,24,               ,real españa,2014,HON,844
23,marvin chavez,CEN,30,               ,chivas usa,2014,HON,845
16,mauricio sabillon,DEF,31,25,hangzhou greentown,2010,HON,846
3,maynor figueroa,DEF,27,66,wigan athletic,2010,HON,847
3,maynor figueroa,DEF,31,               ,hull city,2014,HON,847
18,noel valladares,POR,33,71,olimpia,2010,HON,848
18,noel valladares,POR,37,               ,olimpia,2014,HON,848
14,oscar boniek garcia,DEF,25,42,olimpia,2010,HON,849
2,osman chavez,DEF,25,26,wisła cracovia,2010,HON,850
2,osman chavez,DEF,29,               ,qingdao jonoon,2014,HON,850
7,ramon nuñez,MED,25,16,leeds united,2010,HON,851
24,reynaldo rueda,DT,               ,               ,,2010,HON,852
1,ricardo canales,POR,27,2,motagua,2010,HON,853
13,roger espinoza,DEL,23,10,kansas city wizards,2010,HON,854
15,roger espinoza,CEN,27,               ,wigan athletic,2014,HON,854
16,rony martinez,DEL,25,               ,real sociedad,2014,HON,855
23,sergio mendoza,DEF,29,3,motagua,2010,HON,856
5,victor bernardez,DEF,28,40,anderlecht,2010,HON,857
5,victor bernardez,DEF,32,               ,san jose earthquakes,2014,HON,857
15,walter martinez,DEL,28,34,marathon,2010,HON,858
8,wilson palacios,MED,25,69,tottenham hotspur,2010,HON,859
8,wilson palacios,CEN,29,               ,stoke city,2014,HON,859
17,ahmad alenemeh,DEF,               ,               ,naft tehran,2014,IRA,860
1,alireza beiranvand,POR,25,22,persepolis,2018,IRA,861
12,alireza haghighi,POR,               ,               ,sporting covilhã,2014,IRA,862
9,alireza jahanbakhsh,DEL,               ,               ,nec,2014,IRA,863
18,alireza jahanbakhsh,DEL,24,38,az,2018,IRA,863
22,amir abedzadeh,POR,25,1,maritimo,2018,IRA,864
5,amir hossein sadeghi,DEF,               ,               ,esteghlal,2014,IRA,865
14,andranik teymourian,CEN,               ,               ,esteghlal,2014,IRA,866
21,ashkan dejagah,DEL,               ,               ,fulham,2014,IRA,867
21,ashkan dejagah,DEL,31,46,nottingham forest,2018,IRA,867
18,bakhtiar rahmani,CEN,               ,               ,foolad,2014,IRA,868
24,carlos queiroz,DT,               ,               ,,2014,IRA,869
24,carlos queiroz,DT,               ,               ,,2018,IRA,869
22,daniel davari,POR,               ,               ,eintracht braunschweig,2014,IRA,870
3,ehsan hajsafi,CEN,               ,               ,sepahan,2014,IRA,871
3,ehsan hajsafi,DEF,28,94,olympiacos,2018,IRA,871
11,ghasem hadadifar,CEN,               ,               ,zob ahan,2014,IRA,872
19,hashem beikzadeh,DEF,               ,               ,esteghlal,2014,IRA,873
13,hossein mahini,DEF,               ,               ,persepolis,2014,IRA,874
4,jalal hosseini,DEF,               ,               ,persepolis,2014,IRA,875
6,javad nekounam,CEN,               ,               ,al-kuwait,2014,IRA,876
10,karim ansarifard,DEL,               ,               ,persepolis,2014,IRA,877
10,karim ansarifard,DEL,28,64,olympiacos,2018,IRA,877
2,khosro heydari,DEL,               ,               ,esteghlal,2014,IRA,878
19,majid hosseini,DEF,21,1,esteghlal,2018,IRA,879
7,masoud shojaei,DEL,               ,               ,las palmas,2014,IRA,880
7,masoud shojaei,MED,34,74,aek atenas,2018,IRA,880
17,mehdi taremi,DEL,25,26,al-gharafa,2018,IRA,881
2,mehdi torabi,MED,23,17,saipa,2018,IRA,882
23,mehrdad pouladi,DEF,               ,               ,persepolis,2014,IRA,883
5,milad mohammadi,DEF,25,19,ajmat grozni,2018,IRA,884
12,mohammad rashid mazaheri,POR,29,3,zob ahan,2018,IRA,885
13,mohammad reza khanzadeh,DEF,27,11,padideh,2018,IRA,886
8,morteza pouraliganji,DEF,26,27,al-sadd,2018,IRA,887
9,omid ebrahimi,MED,30,30,esteghlal,2018,IRA,888
15,pejman montazeri,DEF,               ,               ,umm salal,2014,IRA,889
15,pejman montazeri,DEF,34,46,esteghlal,2018,IRA,889
1,rahman ahmadi,POR,               ,               ,sepahan,2014,IRA,890
23,ramin rezaeian,DEF,28,28,oostende,2018,IRA,891
16,reza ghoochannejhad,DEL,               ,               ,charlton athletic,2014,IRA,892
16,reza ghoochannejhad,DEL,30,43,heerenveen,2018,IRA,892
8,reza haghighi,CEN,               ,               ,persepolis,2014,IRA,893
4,rouzbeh cheshmi,DEF,24,10,esteghlal,2018,IRA,894
6,saeid ezatolahi,MED,21,25,amkar perm,2018,IRA,895
14,saman ghoddos,DEL,24,8,ostersund,2018,IRA,896
20,sardar azmoun,DEL,23,33,rubin kazan,2018,IRA,897
20,steven beitashour,DEF,               ,               ,vancouver whitecaps,2014,IRA,898
11,vahid amiri,MED,30,36,persepolis,2018,IRA,899
4,albert guðmundsson,MED,20,5,psv eindhoven,2018,ISL,900
11,alfreð finnbogason,DEL,29,47,fc augsburg,2018,ISL,901
23,ari freyr skulason,DEF,31,56,ksc lokeren,2018,ISL,902
21,arnor ingvi traustason,MED,25,19,malmo,2018,ISL,903
17,aron gunnarsson,MED,29,77,cardiff city,2018,ISL,904
8,birkir bjarnason,MED,30,67,aston villa,2018,ISL,905
2,birkir mar sævarsson,DEF,33,79,valur reykjavik,2018,ISL,906
9,bjorn sigurðarson,DEL,27,12,fc rostov,2018,ISL,907
20,emil hallfreðsson,MED,33,64,udinese,2018,ISL,908
12,frederik schram,POR,23,4,fc roskilde,2018,ISL,909
10,gylfi sigurðsson,MED,28,57,everton,2018,ISL,910
1,hannes þor halldorsson,POR,34,49,randers fc,2018,ISL,911
24,heimir hallgrimsson,DT,               ,               ,,2018,ISL,912
15,holmar orn eyjolfsson,DEF,27,10,levski sofia,2018,ISL,913
18,horður bjorgvin magnusson,DEF,25,16,bristol city,2018,ISL,914
7,johann berg guðmundsson,MED,27,67,burnley,2018,ISL,915
22,jon daði boðvarsson,DEL,26,38,reading,2018,ISL,916
14,kari arnason,DEF,35,67,aberdeen,2018,ISL,917
16,olafur ingi skulason,MED,35,36,kardemir karabukspor,2018,ISL,918
6,ragnar sigurðsson,DEF,31,77,fc rostov,2018,ISL,919
13,runar alex runarsson,POR,23,3,fc nordsjælland,2018,ISL,920
19,rurik gislason,MED,30,47,sv sandhausen,2018,ISL,921
3,samuel friðjonsson,MED,22,4,vålerenga,2018,ISL,922
5,sverrir ingi ingason,DEF,24,20,fc rostov,2018,ISL,923
14,alberto aquilani,CEN,29,35,fiorentina,2014,ITA,924
11,alberto gilardino,DEL,27,73,fiorentina,2010,ITA,925
11,alessio cerci,DEL,26,12,torino,2014,ITA,926
15,andrea barzagli,DEF,33,47,juventus,2014,ITA,927
21,andrea pirlo,CEN,35,109,juventus,2014,ITA,928
21,andrea pirlo,MED,30,67,milan,2010,ITA,928
17,angelo palombo,MED,28,36,sampdoria,2010,ITA,929
6,antonio candreva,CEN,27,20,lazio,2014,ITA,930
10,antonio cassano,DEL,31,37,parma,2014,ITA,931
10,antonio di natale,DEL,32,11,udinese,2010,ITA,932
24,cesare prandelli,DT,               ,               ,,,ITA,933
2,christian maggio,DEF,28,76,napoli,2010,ITA,934
17,ciro immobile,DEL,24,2,torino,2014,ITA,935
8,claudio marchisio,CEN,28,44,juventus,2014,ITA,936
15,claudio marchisio,MED,24,11,juventus,2010,ITA,936
16,daniele de rossi,CEN,30,95,roma,2014,ITA,937
6,daniele de rossi,MED,27,53,roma,2010,ITA,937
3,domenico criscito,DEF,23,6,genoa,2010,ITA,938
5,fabio cannavaro,DEF,36,135,juventus,2010,ITA,939
18,fabio quagliarella,DEL,27,2,napoli,2010,ITA,940
12,federico marchetti,POR,27,9,cagliari,2010,ITA,941
20,gabriel paletta,DEF,28,2,parma,2014,ITA,942
8,gennaro gattuso,MED,32,72,milan,2010,ITA,943
20,giampaolo pazzini,DEL,25,15,sampdoria,2010,ITA,944
19,gianluca zambrotta,DEF,33,97,milan,2010,ITA,945
1,gianluigi buffon,POR,36,140,juventus,2014,ITA,946
1,gianluigi buffon,POR,32,102,juventus,2010,ITA,946
3,giorgio chiellini,DEF,29,68,juventus,2014,ITA,947
4,giorgio chiellini,DEF,25,32,juventus,2010,ITA,947
7,ignazio abate,DEF,27,20,milan,2014,ITA,948
19,leonardo bonucci,DEF,27,37,juventus,2014,ITA,949
23,leonardo bonucci,DEF,23,1,bari,2010,ITA,949
22,lorenzo insigne,DEL,23,5,napoli,2014,ITA,950
24,marcello lippi,DT,               ,               ,,,ITA,951
18,marco parolo,CEN,29,4,parma,2014,ITA,952
23,marco verratti,CEN,21,6,paris saint-germain,2014,ITA,953
9,mario balotelli,DEL,23,30,milan,2014,ITA,954
4,matteo darmian,DEF,24,1,torino,2014,ITA,955
2,mattia de sciglio,DEF,21,11,milan,2014,ITA,956
13,mattia perin,POR,21,0,genoa,2014,ITA,957
16,mauro camoranesi,MED,33,41,juventus,2010,ITA,958
14,morgan de sanctis,POR,33,10,napoli,2010,ITA,959
22,riccardo montolivo,MED,25,73,fiorentina,2010,ITA,960
13,salvatore bocchetti,DEF,23,73,genoa,2010,ITA,961
12,salvatore sirigu,POR,27,8,paris saint-germain,2014,ITA,962
7,simone pepe,MED,26,15,udinese,2010,ITA,963
5,thiago motta,CEN,31,22,paris saint-germain,2014,ITA,964
9,vincenzo iaquinta,DEL,31,36,juventus,2010,ITA,965
18,abdul kader keita,MED,28,55,galatasaray,2010,IVC,966
16,aristide zogbo,POR,28,6,maccabi netanya,2010,IVC,967
3,arthur boka,DEF,31,81,malaga,2014,IVC,968
3,arthur boka,DEF,27,54,stuttgart,2010,IVC,968
15,aruna dindane,DEL,29,54,lekhwiya sc,2010,IVC,969
2,benjamin angoua,DEF,23,7,valenciennes fc,2010,IVC,970
1,boubacar barry,POR,34,80,lokeren,2014,IVC,971
1,boubacar barry,POR,30,45,lokeren,2010,IVC,971
9,cheick tiote,CEN,28,46,newcastle united,2014,IVC,972
9,cheick tiote,MED,23,8,fc twente,2010,IVC,972
18,constant djakpa,DEF,27,6,eintracht frankfurt,2014,IVC,973
23,daniel yeboah,POR,25,7,asec mimosas,2010,IVC,974
11,didier drogba,DEL,36,104,galatasaray,2014,IVC,975
11,didier drogba,DEL,32,27,chelsea,2010,IVC,975
13,didier ya konan,CEN,30,26,ittihad,2014,IVC,976
5,didier zokora,DEF,33,121,trabzonspor,2014,IVC,977
5,didier zokora,MED,29,80,sevilla fc,2010,IVC,977
21,emmanuel eboue,DEF,27,51,arsenal fc,2010,IVC,978
14,emmanuel kone,MED,23,12,international curtea de arges,2010,IVC,979
10,gervinho,DEL,27,56,roma,2014,IVC,980
10,gervinho,MED,23,13,lille osc,2010,IVC,980
21,giovanni sio,DEL,25,8,basel,2014,IVC,981
20,guy demel,DEF,28,26,hamburgo sv,2010,IVC,982
14,ismael diomande,CEN,21,3,saint-etienne,2014,IVC,983
7,jean-daniel akpa-akpro,DEF,21,1,toulouse,2014,IVC,984
12,jean-jacques gosso,MED,27,6,as monaco,2010,IVC,985
4,kolo toure,DEF,33,108,liverpool,2014,IVC,986
4,kolo toure,DEF,29,76,manchester city,2010,IVC,986
6,mathis bolly,DEL,23,5,fortuna dusseldorf,2014,IVC,987
15,max gradel,CEN,26,27,saint-etienne,2014,IVC,988
2,ousmane diarrassouba,DEF,27,1,çaykur rizespor,2014,IVC,989
13,romaric,MED,27,38,sevilla fc,2010,IVC,990
24,sabri lamouchi,DT,               ,               ,,,IVC,991
8,salomon kalou,DEL,28,70,lille,2014,IVC,992
8,salomon kalou,DEL,24,27,chelsea,2010,IVC,992
23,sayouba mande,POR,21,1,stabæk,2014,IVC,993
20,serey die,CEN,29,10,basel,2014,IVC,994
17,serge aurier,DEF,21,11,toulouse,2014,IVC,995
7,seydou doumbia,DEL,22,20,cska moscu,2010,IVC,996
17,siaka tiene,DEF,28,52,valenciennes fc,2010,IVC,997
22,souleymane bamba,DEF,29,46,trabzonspor,2014,IVC,998
22,souleymane bamba,DEF,25,19,hibernian fc,2010,IVC,998
6,steve gohouri,DEF,29,11,wigan athletic,2010,IVC,999
24,sven-goran eriksson,DT,               ,               ,,,IVC,1000
16,sylvain gbohouo,POR,25,2,sewe sport,2014,IVC,1001
12,wilfried bony,DEL,25,27,swansea city,2014,IVC,1002
19,yaya toure,CEN,31,85,manchester city,2014,IVC,1003
19,yaya toure,MED,27,45,fc barcelona,2010,IVC,1003
24,akira nishino,DT,               ,               ,,2018,JAP,1004
24,alberto zaccheroni,DT,               ,               ,,2014,JAP,1005
2,atsuto uchida,DEF,26,68,schalke 04,2014,JAP,1006
6,atsuto uchida,DEF,22,31,kashima antlers,2010,JAP,1006
13,daiki iwamasa,DEF,28,2,kashima antlers,2010,JAP,1007
8,daisuke matsui,MED,27,22,grenoble foot 38,2010,JAP,1008
1,eiji kawashima,POR,31,56,standard de lieja,2014,JAP,1009
21,eiji kawashima,POR,27,8,kawasaki frontale,2010,JAP,1009
1,eiji kawashima,POR,35,84,fc metz,2018,JAP,1009
7,gaku shibasaki,MED,26,17,getafe,2018,JAP,1010
3,gen shoji,DEF,25,10,kashima antlers,2018,JAP,1011
8,genki haraguchi,MED,27,32,fortuna dusseldorf,2018,JAP,1012
3,gotoku sakai,DEF,23,12,stuttgart,2014,JAP,1013
21,gotoku sakai,DEF,27,40,hamburgo sv,2018,JAP,1013
21,hiroki sakai,DEF,24,18,hannover 96,2014,JAP,1014
19,hiroki sakai,DEF,28,42,olympique de marsella,2018,JAP,1014
8,hiroshi kiyotake,DEL,24,25,nuremberg,2014,JAP,1015
16,hotaru yamaguchi,CEN,23,12,cerezo osaka,2014,JAP,1016
16,hotaru yamaguchi,MED,27,41,cerezo osaka,2018,JAP,1016
20,jun'ichi inamoto,MED,30,79,kawasaki frontale,2010,JAP,1017
11,keiji tamada,DEL,30,68,nagoya grampus,2010,JAP,1018
4,keisuke honda,DEL,27,56,milan,2014,JAP,1019
18,keisuke honda,MED,23,11,cska moscu,2010,JAP,1019
4,keisuke honda,MED,32,95,pachuca,2018,JAP,1019
14,kengo nakamura,MED,29,45,kawasaki frontale,2010,JAP,1020
12,kisho yano,DEL,26,17,albirex niigata,2010,JAP,1021
23,kosuke nakamura,POR,23,3,kashiwa reysol,2018,JAP,1022
17,makoto hasebe,CEN,30,78,nuremberg,2014,JAP,1023
17,makoto hasebe,MED,26,28,wolfsburgo,2010,JAP,1023
17,makoto hasebe,MED,32,110,eintracht frankfurt,2018,JAP,1023
20,manabu saito,DEL,24,5,yokohama f. marinos,2014,JAP,1024
4,marcus tulio tanaka,DEF,29,37,nagoya grampus,2010,JAP,1025
12,masaaki higashiguchi,POR,32,4,gamba osaka,2018,JAP,1026
19,masahiko inoha,DEF,28,21,jubilo iwata,2014,JAP,1027
6,masato morishige,DEF,27,10,tokyo,2014,JAP,1028
22,maya yoshida,DEF,25,41,southampton,2014,JAP,1029
22,maya yoshida,DEF,29,82,southampton,2018,JAP,1029
2,naomichi ueda,DEF,23,3,kashima antlers,2018,JAP,1030
18,ryota oshima,MED,25,5,kawasaki frontale,2018,JAP,1031
1,seigo narazaki,POR,34,75,nagoya grampus,2010,JAP,1032
10,shinji kagawa,DEL,25,57,manchester united,2014,JAP,1033
10,shinji kagawa,MED,29,91,borussia dortmund,2018,JAP,1033
9,shinji okazaki,DEL,28,76,maguncia 05,2014,JAP,1034
9,shinji okazaki,DEL,24,25,shimizu s-pulse,2010,JAP,1034
9,shinji okazaki,DEL,32,112,leicester city,2018,JAP,1034
23,shuichi gonda,POR,25,2,tokyo,2014,JAP,1035
10,shunsuke nakamura,MED,31,95,yokohama f. marinos,2010,JAP,1036
12,shusaku nishikawa,POR,27,13,urawa reds,2014,JAP,1037
14,takashi inui,MED,30,26,eibar,2018,JAP,1038
11,takashi usami,MED,26,23,fortuna dusseldorf,2018,JAP,1039
19,takayuki morimoto,DEL,22,3,catania,2010,JAP,1040
24,takeshi okada,DT,               ,               ,,2010,JAP,1041
20,tomoaki makino,DEF,31,32,urawa red diamonds,2018,JAP,1042
14,toshihiro aoyama,CEN,28,6,sanfrecce hiroshima,2014,JAP,1043
6,wataru endo,DEF,25,11,urawa red diamonds,2018,JAP,1044
7,yasuhito endo,CEN,34,144,gamba osaka,2014,JAP,1045
7,yasuhito endo,MED,30,91,gamba osaka,2010,JAP,1045
15,yasuyuki konno,DEF,31,81,gamba osaka,2014,JAP,1046
15,yasuyuki konno,DEF,27,34,fc tokyo,2010,JAP,1046
11,yoichiro kakitani,DEL,24,12,cerezo osaka,2014,JAP,1047
23,yoshikatsu kawaguchi,POR,34,116,jubilo iwata,2010,JAP,1048
13,yoshinori muto,DEL,25,23,fsv mainz,2018,JAP,1049
13,yoshito okubo,DEL,32,57,kawasaki frontale,2014,JAP,1050
16,yoshito okubo,DEL,27,46,vissel kobe,2010,JAP,1050
22,yuji nakazawa,DEF,32,102,yokohama f. marinos,2010,JAP,1051
2,yuki abe,MED,28,42,urawa red diamonds,2010,JAP,1052
5,yuto nagatomo,DEF,27,70,internazionale,2014,JAP,1053
5,yuto nagatomo,DEF,23,23,fc tokyo,2010,JAP,1053
5,yuto nagatomo,DEF,31,105,galatasaray,2018,JAP,1053
18,yuya osako,DEL,24,9,1860 munich,2014,JAP,1054
15,yuya osako,DEL,28,28,1. fc colonia,2018,JAP,1054
3,yūichi komano,DEF,28,51,jubilo iwata,2010,JAP,1055
17,ahn young-hak,MED,31,27,omiya ardija,2010,KPR,1056
7,an chol-hyok,DEL,24,37,rimyongsu,2010,KPR,1057
